bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_year,publisher
41865,Twilight ,Stephenie Meyer,3.59,316015849,9.78E+12,eng,501,4597666,94265,2006,Little  Brown and Company
5907,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,618260307,9.78E+12,eng,366,2530894,32871,2002,Houghton Mifflin
5107,The Catcher in the Rye,J.D. Salinger,3.8,316769177,9.78E+12,eng,277,2457092,43499,2001,Back Bay Books
960,Angels & Demons ,Dan Brown,3.89,1416524797,9.78E+12,eng,736,2418736,21303,2006,Pocket Books
5,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,2004,Scholastic Inc.
15881,Harry Potter and the Chamber of Secrets ,J.K. Rowling/Mary GrandPré,4.42,439064864,9.78E+12,eng,341,2293963,34692,1999,Arthur A. Levine Books / Scholastic Inc.
2,Harry Potter and the Order of the Phoenix,J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,2004,Scholastic Inc.
34,The Fellowship of the Ring ,J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,2003,Houghton Mifflin Harcourt
7613,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,452284244,9.78E+12,eng,122,2111750,29677,2003,NAL
1,Harry Potter and the Half-Blood Prince,J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,2006,Scholastic Inc.
7624,Lord of the Flies,William Golding,3.68,140283331,9.78E+12,eng,182,2036679,26199,1999,Penguin Books
18135,Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,743477111,9.78E+12,eng,368,1893917,14637,2004,Simon Schuster
28187,The Lightning Thief ,Rick Riordan,4.25,786838655,9.78E+12,eng,375,1766725,47951,2006,Disney Hyperion Books
890,Of Mice and Men,John Steinbeck,3.87,142000671,9.78E+12,eng,103,1755253,25554,2002,Penguin Books
968,The Da Vinci Code,Dan Brown,3.84,307277674,9.78E+12,eng,489,1679706,35877,2006,Anchor
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,61122416,9.78E+12,eng,197,1631221,55843,1993,HarperCollins
3636,The Giver,Lois Lowry,4.13,385732554,9.78E+12,eng,208,1585589,56604,2006,Ember
19063,The Book Thief,Markus Zusak/Cao Xuân Việt Khương,4.37,375831002,9.78E+12,eng,552,1516367,86881,2006,Alfred A. Knopf
1934,Little Women,Louisa May Alcott,4.07,451529308,9.78E+12,eng,449,1479727,18458,2004,Signet Classics
10210,Jane Eyre,Charlotte Brontë/Michael Mason,4.12,142437204,9.78E+12,eng,532,1409369,27884,2003,Penguin
19501,Eat  Pray  Love,Elizabeth Gilbert,3.55,143038419,9.78E+12,eng,368,1362264,47620,2007,Riverhead Books
930,Memoirs of a Geisha,Arthur Golden,4.11,739326228,9.78E+12,eng,434,1301083,19296,2005,Random House Large Print Publishing
24178,Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,64410935,9.78E+12,eng,184,1300470,14739,2001,HarperCollinsPublishers
43641,Water for Elephants,Sara Gruen,4.09,1565125606,9.78E+12,eng,335,1260027,52759,2007,Algonquin Books
5129,Brave New World,Aldous Huxley,3.99,60929871,9.78E+12,eng,288,1247221,20014,1998,HarperPerennial / Perennial Classics
15931,The Notebook,Nicholas Sparks,4.09,553816713,9.78E+12,eng,214,1090603,15272,2004,Bantam
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,1400032717,9.78E+12,eng,226,1054308,35537,2004,Vintage
2956,The Adventures of Huckleberry Finn,Mark Twain/Guy Cardwell/John Seelye/Walter Trier,3.82,142437174,9.78E+12,eng,327,1049912,11391,2002,Penguin Classics
37435,The Secret Life of Bees,Sue Monk Kidd,4.05,142001740,9.78E+12,eng,302,1044725,26279,2003,Penguin Books
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.07,385333846,9.78E+12,eng,275,1001671,19056,1999,Dial Press
18405,Gone with the Wind,Margaret Mitchell,4.29,446675539,9.78E+12,eng,1037,999139,15323,1999,Warner Books
10917,My Sister's Keeper,Jodi Picoult,4.07,743454537,9.78E+12,eng,423,986711,29652,2005,Washington Square Press
11588,The Shining,Stephen King,4.22,450040186,9.78E+12,eng,659,978535,15105,1980,New English Library (Hodder & Stoughton)
38709,Holes,Louis Sachar,3.96,439244196,9.78E+12,eng,233,887554,17547,2000,Scholastic
7445,The Glass Castle,Jeannette Walls,4.27,074324754X,9.78E+12,eng,288,808656,46176,2006,Scribner
1845,Into the Wild,Jon Krakauer,3.98,385486804,9.78E+12,eng,207,800349,18198,1997,Anchor Books
17245,Dracula,Bram Stoker/Nina Auerbach/David J. Skal,3.99,393970124,9.78E+12,eng,488,774987,14944,1986,Norton
2998,The Secret Garden,Frances Hodgson Burnett,4.13,517189607,9.78E+12,eng,331,764134,11796,1998,Children's Classics
1381,The Odyssey,Homer/Robert Fagles/Bernard Knox,3.76,143039954,9.78E+12,eng,541,760871,6557,2006,Penguin Classics
5297,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,4.08,375751513,9.78E+12,eng,272,760717,17179,2004,Random House: Modern Library
5139,The Devil Wears Prada,Lauren Weisberger,3.74,307275558,9.78E+12,eng,432,744569,7247,2006,Anchor Books
21787,The Princess Bride,William Goldman,4.26,345418263,9.78E+12,eng,456,703676,13878,2003,Ballantine Books
10964,Outlander,Diana Gabaldon,4.23,440242940,9.78E+12,eng,850,673350,34690,2005,Dell Publishing Company
24583,The Adventures of Tom Sawyer,Mark Twain/Guy Cardwell/John Seelye,3.91,143039563,9.78E+12,eng,244,667590,6783,2006,Penguin Classics
7126,The Count of Monte Cristo,Alexandre Dumas/Robin Buss,4.25,140449264,9.78E+12,eng,1276,647271,14249,2003,Penguin Classics
10572,A Clash of Kings,George R.R. Martin,4.41,553381695,9.78E+12,eng,969,638766,16535,2002,Bantam
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,316346624,9.78E+12,eng,301,633037,11898,2002,Back Bay Books
28186,The Sea of Monsters,Rick Riordan,4.24,786856866,9.78E+12,eng,279,630511,19806,2006,Hyperion Books
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,61234001,9.78E+12,eng,320,628745,13034,2006,William Morrow
16299,And Then There Were None,Agatha Christie,4.26,312330871,9.78E+12,eng,264,625767,18785,2004,St. Martin's Press
8127,Anne of Green Gables,L.M. Montgomery,4.25,451528824,9.78E+12,eng,320,625759,13883,2003,Signet Book
7244,The Poisonwood Bible,Barbara Kingsolver,4.06,60786507,9.78E+12,eng,546,613758,19846,2005,Harper Perennial Modern Classics
